product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
FB,-0.035835,2.985655,3.021490,-0.008978,0.242149,0.251127,-0.106583,-0.040444,0.066140,410.000000,448.000000,38.000000,0.092683,0.448780,0.511161,0.062380,0.347032,0.415525,0.068493
CU,5.878339,7.540011,1.661672,0.523216,0.615510,0.092294,-0.034686,-0.015677,0.019008,303.000000,313.000000,10.000000,0.033003,0.567657,0.581470,0.013813,0.524904,0.559387,0.034483
BB,2.164645,3.155565,0.990920,0.912835,1.474387,0.561553,-0.120202,-0.057149,0.063053,120.000000,94.000000,-26.000000,-0.216667,0.316667,0.361702,0.045035,0.127854,0.141553,0.013699
JD,6.255656,7.067859,0.812204,0.396733,0.487716,0.090983,-0.008261,-0.009771,-0.001509,352.000000,342.000000,-10.000000,-0.028409,0.571023,0.581871,0.010849,0.497717,0.511416,0.013699
JM,7.508974,8.215735,0.706761,2.255598,2.541547,0.285949,-0.033135,-0.028743,0.004392,769.000000,714.000000,-55.000000,-0.071521,0.568270,0.570028,0.001758,0.675799,0.689498,0.013699
B,3.967105,4.651647,0.684543,0.287637,0.372684,0.085047,-0.034227,-0.027025,0.007202,193.000000,243.000000,50.000000,0.259067,0.580311,0.609053,0.028743,0.479452,0.575342,0.095890
FU,4.772749,5.341024,0.568275,1.955786,3.269508,1.313722,-0.195379,-0.097899,0.097481,437.000000,434.000000,-3.000000,-0.006865,0.556064,0.555300,-0.000765,0.657778,0.657778,0.000000
AU,5.993388,6.515650,0.522262,1.791218,1.803951,0.012732,-0.051938,-0.034799,0.017139,447.000000,433.000000,-14.000000,-0.031320,0.617450,0.635104,0.017654,0.543796,0.562044,0.018248
Y,3.081456,3.560247,0.478791,0.212151,0.235887,0.023737,-0.023926,-0.019177,0.004749,328.000000,321.000000,-7.000000,-0.021341,0.518293,0.554517,0.036224,0.534247,0.534247,0.000000
EG,2.591104,3.046094,0.454990,0.175975,0.258649,0.082674,-0.037394,-0.031277,0.006117,135.000000,198.000000,63.000000,0.466667,0.607407,0.575758,-0.031650,0.347032,0.415525,0.068493
PB,4.020591,4.194531,0.173940,0.314676,0.293045,-0.021631,-0.023186,-0.026251,-0.003065,346.000000,302.000000,-44.000000,-0.127168,0.563584,0.599338,0.035754,0.509579,0.517241,0.007663
RB,4.979857,5.111434,0.131577,0.329440,0.326657,-0.002782,-0.013199,-0.009595,0.003604,292.000000,249.000000,-43.000000,-0.147260,0.571918,0.578313,0.006395,0.453333,0.440000,-0.013333
ZN,4.460035,4.518885,0.058850,0.355118,0.399316,0.044198,-0.019657,-0.019829,-0.000172,303.000000,286.000000,-17.000000,-0.056106,0.547855,0.587413,0.039558,0.478927,0.478927,0.000000
M,4.008914,3.990428,-0.018486,0.239978,0.239621,-0.000357,-0.023333,-0.024134,-0.000801,232.000000,233.000000,1.000000,0.004310,0.594828,0.549356,-0.045471,0.465753,0.452055,-0.013699
SP,5.232221,5.006274,-0.225948,0.496915,0.502762,0.005848,-0.012518,-0.014662,-0.002144,350.000000,383.000000,33.000000,0.094286,0.545714,0.556136,0.010421,0.534247,0.493151,-0.041096
SN,6.261967,6.012270,-0.249697,1.304312,1.192222,-0.112090,-0.021618,-0.029286,-0.007668,359.000000,359.000000,0.000000,0.000000,0.618384,0.610028,-0.008357,0.547893,0.547893,0.000000
RU,4.139123,3.880672,-0.258450,0.641476,0.602800,-0.038675,-0.046306,-0.043586,0.002720,544.000000,644.000000,100.000000,0.183824,0.518382,0.492236,-0.026146,0.557078,0.575342,0.018265
V,3.254470,2.983895,-0.270575,0.295771,0.160036,-0.135734,-0.023846,-0.012780,0.011066,111.000000,93.000000,-18.000000,-0.162162,0.576577,0.516129,-0.060448,0.264840,0.210046,-0.054795
AG,7.351846,7.078700,-0.273145,13.529023,13.521147,-0.007876,-0.057909,-0.060786,-0.002877,387.000000,367.000000,-20.000000,-0.051680,0.589147,0.610354,0.021207,0.576642,0.587591,0.010949
BU,7.193522,6.838618,-0.354903,0.792781,0.738175,-0.054607,-0.020021,-0.012974,0.007047,301.000000,243.000000,-58.000000,-0.192691,0.611296,0.662551,0.051256,0.608163,0.583673,-0.024490
CS,4.462262,4.086942,-0.375320,0.148248,0.133377,-0.014872,-0.010817,-0.009879,0.000939,168.000000,167.000000,-1.000000,-0.005952,0.630952,0.586826,-0.044126,0.424658,0.397260,-0.027397
PG,6.912165,6.326815,-0.585350,0.811771,0.810909,-0.000862,-0.028849,-0.037704,-0.008855,313.000000,263.000000,-50.000000,-0.159744,0.635783,0.634981,-0.000802,0.639269,0.598174,-0.041096
RR,-1.302419,-1.996405,-0.693986,-0.095262,-0.119668,-0.024406,-0.135785,-0.140335,-0.004550,419.000000,416.000000,-3.000000,-0.007160,0.436754,0.427885,-0.008870,0.287671,0.278539,-0.009132
WR,3.105572,1.885634,-1.219938,0.484097,0.306297,-0.177800,-0.098101,-0.110398,-0.012297,686.000000,534.000000,-152.000000,-0.221574,0.335277,0.340824,0.005547,0.538813,0.442922,-0.095890
C,5.713760,3.746059,-1.967701,0.156401,0.109648,-0.046754,-0.004601,-0.011186,-0.006586,306.000000,278.000000,-28.000000,-0.091503,0.549020,0.528777,-0.020243,0.479452,0.470320,-0.009132
