product_id,b_sharpe,c_sharpe,delta_sharpe,b_annual_return,c_annual_return,delta_annual_return,b_max_drawdown,c_max_drawdown,delta_max_drawdown,b_trade_count,c_trade_count,delta_trade_count,trade_count_pct_change,b_trade_win_rate,c_trade_win_rate,delta_trade_win_rate,b_daily_win_rate_net,c_daily_win_rate_net,delta_daily_win_rate_net
CU,5.825082,7.540011,1.714928,0.489265,0.615510,0.126245,-0.025344,-0.015677,0.009667,284.000000,313.000000,29.000000,0.102113,0.605634,0.581470,-0.024164,0.521073,0.559387,0.038314
EG,1.839532,3.046094,1.206561,0.105864,0.258649,0.152784,-0.022375,-0.031277,-0.008902,122.000000,198.000000,76.000000,0.622951,0.540984,0.575758,0.034774,0.310502,0.415525,0.105023
PB,3.199732,4.194531,0.994799,0.168089,0.293045,0.124956,-0.020645,-0.026251,-0.005606,256.000000,302.000000,46.000000,0.179688,0.546875,0.599338,0.052463,0.455939,0.517241,0.061303
SP,4.021738,5.006274,0.984535,0.352349,0.502762,0.150414,-0.021246,-0.014662,0.006584,293.000000,383.000000,90.000000,0.307167,0.532423,0.556136,0.023713,0.447489,0.493151,0.045662
JM,7.316381,8.215735,0.899353,2.452371,2.541547,0.089176,-0.025178,-0.028743,-0.003565,746.000000,714.000000,-32.000000,-0.042895,0.561662,0.570028,0.008366,0.616438,0.689498,0.073059
BB,2.393027,3.155565,0.762538,0.971204,1.474387,0.503183,-0.077846,-0.057149,0.020697,88.000000,94.000000,6.000000,0.068182,0.375000,0.361702,-0.013298,0.123288,0.141553,0.018265
AG,6.448377,7.078700,0.630323,11.606972,13.521147,1.914175,-0.084115,-0.060786,0.023329,353.000000,367.000000,14.000000,0.039660,0.603399,0.610354,0.006955,0.576642,0.587591,0.010949
JD,6.446019,7.067859,0.621840,0.397682,0.487716,0.090034,-0.007743,-0.009771,-0.002028,328.000000,342.000000,14.000000,0.042683,0.545732,0.581871,0.036140,0.470320,0.511416,0.041096
AU,5.924741,6.515650,0.590909,1.753924,1.803951,0.050027,-0.042304,-0.034799,0.007504,410.000000,433.000000,23.000000,0.056098,0.663415,0.635104,-0.028311,0.572993,0.562044,-0.010949
BU,6.335238,6.838618,0.503380,0.619575,0.738175,0.118600,-0.027086,-0.012974,0.014112,278.000000,243.000000,-35.000000,-0.125899,0.593525,0.662551,0.069026,0.571429,0.583673,0.012245
FB,2.593749,2.985655,0.391906,0.208335,0.242149,0.033814,-0.045244,-0.040444,0.004801,464.000000,448.000000,-16.000000,-0.034483,0.487069,0.511161,0.024092,0.410959,0.415525,0.004566
RB,4.733212,5.111434,0.378222,0.331580,0.326657,-0.004923,-0.008400,-0.009595,-0.001195,264.000000,249.000000,-15.000000,-0.056818,0.583333,0.578313,-0.005020,0.457778,0.440000,-0.017778
RR,-2.231397,-1.996405,0.234992,-0.131645,-0.119668,0.011978,-0.145161,-0.140335,0.004826,429.000000,416.000000,-13.000000,-0.030303,0.412587,0.427885,0.015297,0.264840,0.278539,0.013699
B,4.492839,4.651647,0.158808,0.325229,0.372684,0.047454,-0.032725,-0.027025,0.005700,209.000000,243.000000,34.000000,0.162679,0.617225,0.609053,-0.008171,0.552511,0.575342,0.022831
ZN,4.362315,4.518885,0.156571,0.382829,0.399316,0.016487,-0.024996,-0.019829,0.005167,300.000000,286.000000,-14.000000,-0.046667,0.543333,0.587413,0.044079,0.478927,0.478927,0.000000
PG,6.184403,6.326815,0.142412,0.714127,0.810909,0.096782,-0.033664,-0.037704,-0.004040,240.000000,263.000000,23.000000,0.095833,0.612500,0.634981,0.022481,0.616438,0.598174,-0.018265
M,4.044142,3.990428,-0.053714,0.208372,0.239621,0.031248,-0.018902,-0.024134,-0.005231,223.000000,233.000000,10.000000,0.044843,0.582960,0.549356,-0.033603,0.452055,0.452055,0.000000
CS,4.242045,4.086942,-0.155103,0.133690,0.133377,-0.000313,-0.009129,-0.009879,-0.000749,149.000000,167.000000,18.000000,0.120805,0.597315,0.586826,-0.010489,0.388128,0.397260,0.009132
V,3.224477,2.983895,-0.240582,0.220529,0.160036,-0.060493,-0.014429,-0.012780,0.001649,97.000000,93.000000,-4.000000,-0.041237,0.536082,0.516129,-0.019953,0.219178,0.210046,-0.009132
Y,3.821097,3.560247,-0.260849,0.248536,0.235887,-0.012649,-0.020292,-0.019177,0.001114,255.000000,321.000000,66.000000,0.258824,0.541176,0.554517,0.013341,0.529680,0.534247,0.004566
WR,2.165125,1.885634,-0.279491,0.291656,0.306297,0.014641,-0.097672,-0.110398,-0.012726,591.000000,534.000000,-57.000000,-0.096447,0.351946,0.340824,-0.011122,0.452055,0.442922,-0.009132
RU,4.481592,3.880672,-0.600919,0.639580,0.602800,-0.036780,-0.020411,-0.043586,-0.023175,556.000000,644.000000,88.000000,0.158273,0.514388,0.492236,-0.022152,0.570776,0.575342,0.004566
SN,6.660726,6.012270,-0.648456,1.370272,1.192222,-0.178050,-0.020307,-0.029286,-0.008979,343.000000,359.000000,16.000000,0.046647,0.635569,0.610028,-0.025541,0.547893,0.547893,0.000000
C,4.513259,3.746059,-0.767200,0.147128,0.109648,-0.037481,-0.009540,-0.011186,-0.001646,319.000000,278.000000,-41.000000,-0.128527,0.536050,0.528777,-0.007273,0.493151,0.470320,-0.022831
FU,6.673196,5.341024,-1.332172,4.932703,3.269508,-1.663195,-0.064300,-0.097899,-0.033599,459.000000,434.000000,-25.000000,-0.054466,0.557734,0.555300,-0.002435,0.697778,0.657778,-0.040000
